img;label
images/frame_c_2200.png;images/frame_c_2200.txt
images/frame_d_860.png;images/frame_d_860.txt
images/frame_a_8960.png;images/frame_a_8960.txt
images/frame_a_1430.png;images/frame_a_1430.txt
images/frame_c_5450.png;images/frame_c_5450.txt
images/frame_d_7720.png;images/frame_d_7720.txt
images/frame_d_10890.png;images/frame_d_10890.txt
images/frame_d_12600.png;images/frame_d_12600.txt
images/frame_a_5240.png;images/frame_a_5240.txt
images/frame_d_10810.png;images/frame_d_10810.txt
images/frame_a_5190.png;images/frame_a_5190.txt
images/frame_d_5840.png;images/frame_d_5840.txt
images/frame_d_3100.png;images/frame_d_3100.txt
images/frame_d_8670.png;images/frame_d_8670.txt
images/frame_a_3140.png;images/frame_a_3140.txt
images/frame_b_1690.png;images/frame_b_1690.txt
images/frame_c_690.png;images/frame_c_690.txt
images/frame_a_3590.png;images/frame_a_3590.txt
images/frame_d_3350.png;images/frame_d_3350.txt
images/frame_d_500.png;images/frame_d_500.txt
images/frame_c_7750.png;images/frame_c_7750.txt
images/frame_a_7890.png;images/frame_a_7890.txt
images/frame_c_5950.png;images/frame_c_5950.txt
images/frame_d_8970.png;images/frame_d_8970.txt
images/frame_c_3460.png;images/frame_c_3460.txt
images/frame_c_1710.png;images/frame_c_1710.txt
images/frame_a_6880.png;images/frame_a_6880.txt
images/frame_d_2640.png;images/frame_d_2640.txt
images/frame_d_5730.png;images/frame_d_5730.txt
images/frame_a_9720.png;images/frame_a_9720.txt
images/frame_b_1950.png;images/frame_b_1950.txt
images/frame_c_1030.png;images/frame_c_1030.txt
images/frame_d_9480.png;images/frame_d_9480.txt
images/frame_d_11820.png;images/frame_d_11820.txt
images/frame_a_4570.png;images/frame_a_4570.txt
images/frame_d_9920.png;images/frame_d_9920.txt
images/frame_d_1280.png;images/frame_d_1280.txt
images/frame_c_3940.png;images/frame_c_3940.txt
images/frame_d_7660.png;images/frame_d_7660.txt
images/frame_c_5370.png;images/frame_c_5370.txt
images/frame_d_6120.png;images/frame_d_6120.txt
images/frame_a_4000.png;images/frame_a_4000.txt
images/frame_d_780.png;images/frame_d_780.txt
images/frame_d_7030.png;images/frame_d_7030.txt
images/frame_d_5630.png;images/frame_d_5630.txt
images/frame_d_10390.png;images/frame_d_10390.txt
images/frame_a_1360.png;images/frame_a_1360.txt
images/frame_a_4720.png;images/frame_a_4720.txt
images/frame_a_8110.png;images/frame_a_8110.txt
images/frame_a_6930.png;images/frame_a_6930.txt
images/frame_c_990.png;images/frame_c_990.txt
images/frame_a_6650.png;images/frame_a_6650.txt
images/frame_d_1770.png;images/frame_d_1770.txt
images/frame_c_5660.png;images/frame_c_5660.txt
images/frame_d_7650.png;images/frame_d_7650.txt
images/frame_d_9220.png;images/frame_d_9220.txt
images/frame_a_1910.png;images/frame_a_1910.txt
images/frame_d_11850.png;images/frame_d_11850.txt
images/frame_d_8900.png;images/frame_d_8900.txt
images/frame_d_6510.png;images/frame_d_6510.txt
images/frame_a_6990.png;images/frame_a_6990.txt
images/frame_c_7010.png;images/frame_c_7010.txt
images/frame_a_7230.png;images/frame_a_7230.txt
images/frame_a_7770.png;images/frame_a_7770.txt
images/frame_c_210.png;images/frame_c_210.txt
images/frame_c_6920.png;images/frame_c_6920.txt
images/frame_d_6430.png;images/frame_d_6430.txt
images/frame_c_5740.png;images/frame_c_5740.txt
images/frame_c_3060.png;images/frame_c_3060.txt
